Comments
"carlos podium will right all the heartache from this season so far, pls pls"
sainz don’t give me hope
Carlos comeback will never bore ANYONE!!
Sainz e a Ferrari me deixando sonhar 😍
Oh hell nah as a Ferrari fan I’m absolutely happyyyyyyy 😆😆😆😆
double P3 for Sainz 👀🙌
Williams PLEASEEEEE🙏😭
Charlos podium will save me from my coma ong
Lando 👏
se le juntó el ganado a Sainz JAJAJAJAJAJ
carlos you better stay on that podium all weekend
Petition to have this podium on Sunday -------->
Carlos and his exes
MY POOR HEART CANT HANDLE THIS 😭❤️
